TERYT Powiatu,Powiat,Bezpartyjni,TD,Lewica,PiS,Konfederacja,KO
280900,lidzbarski,1.9711485519215945,13.676907829534194,7.058693976434313,34.90804977425393,6.871489924017178,35.51370994383878
280800,kętrzyński,1.9729699374789411,14.260042679046087,8.569503200928457,35.67069746546367,6.585301935532177,32.94148478155067
280700,iławski,1.5424560477039189,18.566682069223493,7.045569564547714,37.04534952802165,7.699078046955794,28.100864743547426
280600,giżycki,2.759998520108032,16.56369085056791,6.892596840430648,31.647489733249472,6.5966184468533795,35.53960560879056
280500,ełcki,1.9150750781795158,14.542682138888171,6.642028273847983,37.50290750264906,8.531258884035871,30.8660481223994
280400,elbląski,1.5900383141762453,15.256704980842912,7.628352490421456,35.747126436781606,6.597701149425288,33.18007662835249
280300,działdowski,1.7230749261771101,14.797027614628288,8.099425641691274,44.115261057208684,6.983158646201772,24.28205211409287
280200,braniewski,1.380281690140845,15.9943661971831,7.746478873239436,36.670422535211266,6.783098591549296,31.42535211267606
280100,bartoszycki,1.4000314613811546,12.529495044832467,6.921503854019191,37.04577630957999,5.989460437313198,36.113732892874
266100,Kielce,3.971986084352201,13.143164988084042,9.467023384497383,33.17658445720756,6.109553767908179,34.131687317950636
261300,włoszczowski,1.9143345706301873,15.748425574508904,5.567835842682571,58.04312466113358,6.623013721483089,12.103265629561664
261200,staszowski,2.9273392577104027,12.686053869645363,5.183371392412028,57.1794095798828,7.44215478581451,14.581671114534899
261100,starachowicki,2.484830973707021,12.853110483853044,6.565465739114973,47.20067566065833,7.141110839463917,23.75480630320272
261000,skarżyski,2.4497503686266393,10.846677186538013,7.5458519802364385,40.94471893835528,6.0066740823136815,32.20632744392995
260900,sandomierski,1.3901113124514626,22.42557597721978,5.6148071447061865,47.8462334972819,6.57778928294072,16.14548278539995
260800,pińczowski,2.9955067398901645,15.072391412880679,6.170743884173739,52.43135297054419,6.35047428856715,16.979530703944086
260700,ostrowiecki,2.208915502328676,14.690618762475049,8.115198175078413,43.8133257294934,6.183822830529417,24.98811900009505
260600,opatowski,2.147154823233316,14.499193833811791,5.470132525856306,57.88666483149161,7.381336269613434,12.615517715993551
260500,konecki,2.403050579178358,11.849773364990288,9.199702616495191,52.34669160850901,6.161114708492218,18.03966712233494
260400,kielecki,4.01196612505124,12.573152969291016,6.075512179805856,52.445991086457866,7.789319448441874,17.104058190952145
260300,kazimierski,1.5752839174502382,18.830137989986568,5.0433508364879716,54.59152521675418,6.246183905238735,13.713518134082307
260200,jędrzejowski,2.3904650745196623,14.35401328784342,5.588974681271323,54.94478362363081,6.6259651643023885,16.095798168432392
260100,buski,3.2195071815822605,16.14892468974023,6.184639893111334,51.47614275803593,5.806932346668722,17.163853130861533
247900,Żory,2.193528786267659,12.252772292267963,7.264165274191098,35.82864955187605,8.449035394197175,34.01184870120006
247800,Zabrze,2.2208851450728706,12.76507554485894,10.262067121272898,30.403797299104156,7.32985693274502,37.01831795694612
247700,Tychy,1.8754570351146354,16.92499605695195,7.8430810260527934,31.74368753853433,7.144803062672957,34.46797528067333
247600,Świętochłowice,2.1456804065499715,12.378925422403682,8.061503713677627,32.797637145463234,7.257959431872475,37.35829388003301
247500,Sosnowiec,1.2252186255208095,9.16899409367703,26.680097065152697,27.328419028432766,4.942997115516689,30.654274071700016
247400,Siemianowice Śląskie,1.5214135968852949,13.168613357292603,9.260257562144353,28.748128182090447,6.421084156933214,40.88050314465409
247300,Rybnik,2.5650109827818324,12.740026925529655,8.00821937221002,37.1062141288174,8.066321830936017,31.514206759725077
247200,Ruda Śląska,1.9575153065624191,15.260570870102619,7.094196441403892,36.20109804823364,6.996464399666562,32.490154934030876
247100,Piekary Śląskie,1.5680860854483027,9.238611022618668,5.713072103642349,37.75087607518318,6.067041874623907,39.662312838483594
247000,Mysłowice,1.9113305507482439,12.740506973429705,9.101089280260613,35.200549730224985,7.500254504733789,33.54626896060267
246900,Katowice,1.7088391740610658,12.96707373258103,10.314663347912715,26.491195529255496,6.246596980811459,42.27163123537824
246800,Jaworzno,1.7435688035933035,10.132707227439772,16.490404246631275,31.574111882400977,6.790526745610453,33.268681094324215
246700,Jastrzębie-Zdrój,2.565099106101827,9.967764797329737,8.589195491643995,43.71184929471206,7.805034178459569,27.36105713175282
246600,Gliwice,1.7203078989512837,12.975151108126258,10.088340135351553,26.492741643849772,6.731414991992561,41.99204422172858
246500,Dąbrowa Górnicza,1.3446449439225387,9.01033525064121,26.930840327207058,28.0235540513879,5.172178294455995,29.5184471323853
246400,Częstochowa,2.0255151454430083,11.743145309421234,12.527969809304345,31.34956417192666,5.994723307617807,36.359082256286946
246300,Chorzów,1.9664757218100035,12.55814847564492,9.153819537887816,27.824766444965594,6.906693322056053,41.590096497635614
246200,Bytom,1.9722394862233272,12.616532007458048,10.58628547752227,31.865202679372974,7.184586699813549,35.775153649609834
246100,Bielsko-Biała,1.347528134627072,14.852149129241152,9.069094871848607,30.8789320368003,7.438648699624871,36.413647127858
241700,żywiecki,1.7137206189172565,12.98134323858223,6.102340838649766,48.44366188690167,8.047612730496025,22.711320686453046
241600,zawierciański,1.532236973678138,12.14713167084596,12.84709936464471,39.36587542113441,7.158131163177083,26.949525406519697
241500,wodzisławski,2.5533342444988385,11.683212603903929,6.023632319868792,42.22630866145646,8.34834685585776,29.165165314414228
241400,bieruńsko-lędziński,2.2731444655204065,13.262558893715964,6.008688735238328,45.08046258336903,8.811111790980847,24.56403353117543
241300,tarnogórski,1.7761592364224392,15.149284146036837,7.9236948319156495,33.56428223972234,6.932411290640653,34.654168255262086
241200,rybnicki,2.42133726647001,13.087512291052114,6.504424778761061,44.20599803343166,8.834808259587021,24.94591937069813
241100,raciborski,1.9718718283311585,13.697466807514655,6.756560823546469,37.75554588951719,7.692785683216305,32.12576896787423
241000,pszczyński,2.0125376536676707,12.803061141414965,6.892452983798745,42.873890743303754,8.436049824961328,26.982007652853536
240900,myszkowski,1.7466677141435567,12.336659072459213,9.55822662162516,40.78613140597586,6.994526933249536,28.577788252546675
240800,mikołowski,1.7943248427052898,15.777869396095864,6.385000089626615,32.152652051553225,8.26895154785165,35.62120207216735
240700,lubliniecki,2.394621153348849,14.442720455133179,5.060770623222136,39.25006464959917,8.148435479700025,30.703387638996638
240600,kłobucki,1.7858301083172983,24.94973299029252,7.210343112879164,39.57581129872657,6.7217261583032455,19.7565563314812
240500,gliwicki,2.188751912793797,15.333298946029124,7.809356785474803,34.120802599680204,7.671807568645655,32.875982187376415
240400,częstochowski,2.5592404492594114,15.643191492183044,8.68550515163168,41.30587564478273,6.822431145823664,24.983756116319466
240300,cieszyński,2.244014939690185,16.751025572994266,9.413841663775333,33.842888340102455,8.034165357062676,29.714064126375085
240200,bielski,1.6154394498490439,16.313737001006373,7.786816504528682,36.03341999329084,8.473456893659845,29.777130157665212
240100,będziński,1.7023665882184285,10.049338764977838,21.90617272151672,27.5078547791702,5.647078500005973,33.18718864611084
226400,Sopot,0.9503317195624889,10.108481262327416,9.808140577371347,20.647301416532184,4.267527344450421,54.218217679756144
226300,Słupsk,1.3058464801802996,11.217906226523487,9.881125988775464,28.319855053250254,5.868575721419417,43.406690529851076
226200,Gdynia,1.4074832221680325,13.825483071047334,11.384196896530407,20.499522595978817,5.588718153030314,47.294596061245095
226100,Gdańsk,1.163527446575658,14.632865415044538,11.089765092143649,20.224167081728147,5.706841229666223,47.182833734841786
