"Numer okręgu";"Liczba mandatów";"Liczba kandydatów";"Mieszkańcy";"Wyborcy";"Siedziba OKW";"Opis granic"
83;1;6;0;0;"Kielce";"obszar powiatu: kielecki oraz miasta na prawach powiatu: Kielce"
84;1;3;0;0;"Elbląg";"obszary powiatów: bartoszycki, braniewski, elbląski, lidzbarski oraz miasta na prawach powiatu: Elbląg"
85;1;5;0;0;"Elbląg";"obszary powiatów: działdowski, iławski, nowomiejski, ostródzki"
86;1;5;0;0;"Olsztyn";"obszary powiatów: nidzicki, olsztyński, szczycieński oraz miasta na prawach powiatu: Olsztyn"
87;1;4;0;0;"Olsztyn";"obszary powiatów: ełcki, giżycki, gołdapski, kętrzyński, mrągowski, olecki, piski, węgorzewski"
88;1;4;0;0;"Piła";"obszary powiatów: chodzieski, czarnkowsko-trzcianecki, pilski, wągrowiecki, złotowski"
89;1;3;0;0;"Piła";"obszary powiatów: grodziski, międzychodzki, nowotomyski, obornicki, szamotulski, wolsztyński"
90;1;2;0;0;"Poznań";"obszar powiatu: poznański"
91;1;2;0;0;"Poznań";"obszar miasta na prawach powiatu: Poznań"
92;1;5;0;0;"Konin";"obszary powiatów: gnieźnieński, słupecki, średzki, śremski, wrzesiński"
93;1;4;0;0;"Konin";"obszary powiatów: kolski, koniński, turecki oraz miasta na prawach powiatu: Konin"
94;1;4;0;0;"Kalisz";"obszary powiatów: gostyński, kościański, leszczyński, rawicki oraz miasta na prawach powiatu: Leszno"
95;1;4;0;0;"Kalisz";"obszary powiatów: kępiński, krotoszyński, ostrowski, ostrzeszowski"
96;1;7;0;0;"Kalisz";"obszary powiatów: jarociński, kaliski, pleszewski oraz miasta na prawach powiatu: Kalisz"
97;1;2;0;0;"Szczecin";"obszar powiatu: policki oraz miasta na prawach powiatu: Szczecin"
98;1;2;0;0;"Szczecin";"obszary powiatów: goleniowski, gryficki, gryfiński, kamieński, łobeski, myśliborski, pyrzycki, stargardzki oraz miasta na prawach powiatu: Świnoujście"
99;1;3;0;0;"Koszalin";"obszary powiatów: białogardzki, choszczeński, drawski, kołobrzeski, świdwiński, wałecki"
100;1;6;0;0;"Koszalin";"obszary powiatów: koszaliński, sławieński, szczecinecki oraz miasta na prawach powiatu: Koszalin"
